LGE|Nexus 5|hammerhead|6.0
samsung|SM-A300FU|a3ulte|5.0.2
samsung|SM-N910W8|trltecan|5.1.1
Sony|D5503|D5503|5.1.1
LGE|LG-D851|g3|5.0.1
LGE|LGMS345|c50|5.1.1
motorola|XT1058|ghost|5.1
LGE|LG-H812|p1|5.1
LGE|LGLS770|g4stylusc|5.1.1
samsung|SM-G900F|kltexx|5.1.1
samsung|SAMSUNG-SM-N920A|noblelteatt|5.1.1
samsung|SM-N920T|nobleltetmo|5.1.1
samsung|SM-A300F|a3lte|5.0.2
LGE|LG-D802|g2|5.0.2
motorola|MotoG3|osprey_u2|5.1.1
LGE|Nexus 4|mako|5.1.1
motorola|XT1033|falcon_umtsds|5.1
samsung|SCH-I545|jfltevzw|5.0.1
samsung|SM-G531H|grandprimeve3g|5.1.1
samsung|SM-G900I|klte|5.0
motorola|XT1526|surnia_cdma|5.1
Sony|D5303|D5303|5.0.2
samsung|SM-G928I|zenlte|5.1.1
asus|ASUS_Z00AD|Z00A_1|5.0
samsung|SM-G920P|zerofltespr|5.1.1
samsung|SM-T805|chagalllte|5.0.2
samsung|SM-G530T1|gprimeltemtr|5.1.1
samsung|SM-N910F|trlte|5.1.1
LGE|LG-H324|my50ds|5.0.1
motorola|XT1053|ghost|5.1
samsung|SM-G360T1|cprimeltemtr|5.1.1
LGE|Nexus 5X|bullhead|6.0.1
HTC|HTC Desire 626s|htc_a32eul|5.1
asus|ASUS_T00J|ASUS_T00J|5.0
motorola|MotoE2(4G-LTE)|surnia_umts|5.1
asus|ASUS ZenFone 2E|ASUS_Z00D|5.0.1
LGE|LG-D800|g2|5.0.2
LGE|LG-VS985|vs985|5.1.1
LGE|LG-H340AR|c50|5.0.1
samsung|SAMSUNG-SM-G530AZ|grandprimelteaio|5.1.1
samsung|GT-I9192|serranods|6.0.1
samsung|SM-G900M|klte|5.0
motorola|Moto G|falcon|6.0.1
motorola|XT1097|victara|6.0
LGE|Nexus 5|hammerhead|6.0.1
motorola|Nexus 6|shamu|6.0.1
LGE|LGMS631|g4stylusn|5.1.1
samsung|SM-N920V|nobleltevzw|5.1.1
motorola|XT1093|victara|5.1
LGE|Nexus 5|hammerhead|5.1.1
samsung|SM-G900R7|klteacg|5.0
samsung|GT-I9500|ja3g|5.0.1
LGE|LG-H634|g4stylus|5.1.1
LGE|Nexus 5|hammerhead|5.0.1
samsung|SM-N900T|hltetmo|5.0
samsung|SM-G850F|slte|5.0.2
LGE|LGLS990|g3|5.0.1
Sony|E6683|E6683|6.0
samsung|GT-I9300|m0|5.1.1
samsung|SM-G925F|zerolte|6.0.1
HTC|HTC One|m7|5.0.2
LGE|Nexus 5|hammerhead|5.0
samsung|SM-G928V|zenltevzw|6.0.1
asus|Nexus 7|flo|5.0
LGE|Nexus 4|mako|5.0
HTC|710C|htc_a5chl|5.0.2
LGE|LG-H815|h815|6.0.1
samsung|SM-J200Y|j2lte|5.1.1
motorola|XT1068|titan_umtsds|6.0
HTC|HTC One M9|htc_himauhl|6.0
LGE|AOSP on Mako|mako|5.0
samsung|SM-G900P|kltespr|6.0.1
samsung|SAMSUNG-SM-G530A|grandprimelteatt|5.1.1
samsung|GT-I9515|jfvelte|5.0.1
motorola|XT1069|titan_udstv|6.0
motorola|ghost|ghost|5.0
motorola|Nexus 6|shamu|5.0
asus|ASUS_T00F|ASUS_T00F|5.0
samsung|Nexus 10|manta|5.0
motorola|XT1064|titan_umts|5.0
asus|Nexus 7|grouper|5.0
LGE|LG-VS985|vs985|5.0
motorola|Moto X|ghost|5.0
motorola|Moto G|falcon_gpe|5.0
motorola|XT1039|peregrine|5.0
motorola|XT1095|victara|5.0
asus|Nexus 7|flo|5.0.1
HTC|HTC One|m7|5.0.1
samsung|SM-G920V|zerofltevzw|6.0.1
LGE|Nexus 4|mako|5.0.1
HTC|831C|htc_m8whl|6.0
HTC|HTC6525LVW|htc_m8|5.0.1
samsung|SM-G900F|klte|5.0
samsung|Nexus 10|manta|5.0.1
samsung|GT-I9505|jfltexx|5.0.1
asus|Nexus 7|grouper|5.0.2
LGE|LG-D855|g3|5.0
motorola|Moto X|ghost|5.0.2
motorola|Moto G|falcon_umts|5.0.2
motorola|Nexus 6|shamu|5.0.1
samsung|SM-N910T|trltetmo|5.0.2
samsung|GT-I9500|ja3g|5.0_by-master
